bie_from;bie_to;bgstat;hdl_id;srt_bufgrp_id;scrn_bufgrp_id
CIR4;E;E ;2;11;41
CIR4;F;E ;2;11;41
CIR4;H;E ;2;11;41
CIR4;B;E ;4;11;41
CIR4;D;E ;4;11;41
CIR4;E;E ;4;11;41
CIR4;F;E ;4;11;41
CIR4;H;E ;4;11;41
CIR4;A;E ;3;21;41
CIR4;B;E ;3;21;41
CIR4;C;E ;3;21;41
CIR4;D;E ;3;21;41
CIR4;E;E ;3;21;41
CIR4;F;E ;3;21;41
CIR4;H;E ;3;21;41
CIR5;A;E ;1;1;41
CIR5;A;E ;2;2;41
CIR5;C;E ;2;2;41
CIR5;A;E ;4;2;41
CIR5;C;E ;4;2;41
CIR5;B;E ;1;10;41
CIR5;C;E ;1;10;41
CIR5;D;E ;1;10;41
CIR5;E;E ;1;10;41
CIR5;F;E ;1;10;41
CIR5;H;E ;1;10;41
CIR5;B;E ;2;11;41
CIR5;D;E ;2;11;41
CIR5;E;E ;2;11;41
CIR5;F;E ;2;11;41
CIR5;H;E ;2;11;41
CIR5;B;E ;4;11;41
CIR5;D;E ;4;11;41
CIR5;E;E ;4;11;41
CIR5;F;E ;4;11;41
CIR5;H;E ;4;11;41
CIR5;A;E ;3;21;41
CIR5;B;E ;3;21;41
CIR5;C;E ;3;21;41
CIR5;D;E ;3;21;41
CIR5;E;E ;3;21;41
CIR5;F;E ;3;21;41
CIR5;H;E ;3;21;41
CIR6;A;E ;1;1;41
CIR6;A;E ;2;2;41
CIR6;A;E ;4;2;41
CIR6;B;E ;1;10;41
CIR6;C;E ;1;10;41
CIR6;D;E ;1;10;41
CIR6;E;E ;1;10;41
CIR6;F;E ;1;10;41
CIR6;H;E ;1;10;41
CIR6;B;E ;2;11;41
CIR6;C;E ;2;11;41
CIR6;D;E ;2;11;41
CIR6;E;E ;2;11;41
CIR6;F;E ;2;11;41
CIR6;H;E ;2;11;41
CIR6;B;E ;4;11;41
CIR6;C;E ;4;11;41
CIR6;D;E ;4;11;41
CIR6;E;E ;4;11;41
CIR6;F;E ;4;11;41
CIR6;H;E ;4;11;41
CIR6;A;E ;3;21;41
CIR6;B;E ;3;21;41
CIR6;C;E ;3;21;41
CIR6;D;E ;3;21;41
CIR6;E;E ;3;21;41
CIR6;F;E ;3;21;41
CIR6;H;E ;3;21;41
CR123;A;E ;1;1;41
CR123;A;E ;2;2;41
CR123;A;E ;4;2;41
CR123;B;E ;1;10;41
CR123;C;E ;1;10;41
CR123;D;E ;1;10;41
CR123;E;E ;1;10;41
CR123;F;E ;1;10;41
CR123;H;E ;1;10;41
CR123;B;E ;2;11;41
CR123;C;E ;2;11;41
CR123;D;E ;2;11;41
CR123;E;E ;2;11;41
CR123;F;E ;2;11;41
CR123;H;E ;2;11;41
CR123;B;E ;4;11;41
CR123;C;E ;4;11;41
CR123;D;E ;4;11;41
CR123;E;E ;4;11;41
CR123;F;E ;4;11;41
CR123;H;E ;4;11;41
CR123;A;E ;3;21;41
CR123;B;E ;3;21;41
CR123;C;E ;3;21;41
CR123;D;E ;3;21;41
CR123;E;E ;3;21;41
CR123;F;E ;3;21;41
CR123;H;E ;3;21;41
CR456;A;E ;1;1;41
CR456;A;E ;2;2;41
CR456;A;E ;4;2;41
CR456;B;E ;1;10;41
CR456;C;E ;1;10;41
CR456;D;E ;1;10;41
CR456;E;E ;1;10;41
CR456;F;E ;1;10;41
CR456;H;E ;1;10;41
CR456;B;E ;2;11;41
CR456;C;E ;2;11;41
CR456;D;E ;2;11;41
CR456;E;E ;2;11;41
CR456;F;E ;2;11;41
CR456;H;E ;2;11;41
CR456;B;E ;4;11;41
CR456;C;E ;4;11;41
CR456;D;E ;4;11;41
CR456;E;E ;4;11;41
CR456;F;E ;4;11;41
CR456;H;E ;4;11;41
CR456;A;E ;3;21;41
CR456;B;E ;3;21;41
CR456;C;E ;3;21;41
CR456;D;E ;3;21;41
CR456;E;E ;3;21;41
CR456;F;E ;3;21;41
CR456;H;E ;3;21;41
CRL4;A;E ;1;1;41
CRL4;A;E ;2;2;41
CRL4;A;E ;4;2;41
CRL4;B;E ;1;10;41
CRL4;C;E ;1;10;41
CRL4;D;E ;1;10;41
CRL4;E;E ;1;10;41
CRL4;F;E ;1;10;41
CRL4;H;E ;1;10;41
CRL4;B;E ;2;11;41
CRL4;C;E ;2;11;41
CRL4;D;E ;2;11;41
CRL4;E;E ;2;11;41
CRL4;F;E ;2;11;41
CRL4;H;E ;2;11;41
CRL4;B;E ;4;11;41
CRL4;C;E ;4;11;41
CRL4;D;E ;4;11;41
CRL4;E;E ;4;11;41
CRL4;F;E ;4;11;41
CRL4;H;E ;4;11;41
CRL4;A;E ;3;21;41
CRL4;B;E ;3;21;41
CRL4;C;E ;3;21;41
CRL4;D;E ;3;21;41
CRL4;E;E ;3;21;41
CRL4;F;E ;3;21;41
CRL4;H;E ;3;21;41
EAS;A;E ;1;1;41
EAS;C;E ;1;1;41
EAS;A;E ;2;2;41
EAS;A;E ;4;2;41
EAS;B;E ;1;10;41
EAS;D;E ;1;10;41
EAS;E;E ;1;10;41
EAS;F;E ;1;10;41
EAS;H;E ;1;10;41
EAS;B;E ;2;11;41
EAS;C;E ;2;11;41
EAS;D;E ;2;11;41
EAS;E;E ;2;11;41
EAS;F;E ;2;11;41
EAS;H;E ;2;11;41
EAS;B;E ;4;11;41
EAS;C;E ;4;11;41
EAS;D;E ;4;11;41
EAS;E;E ;4;11;41
EAS;F;E ;4;11;41
EAS;H;E ;4;11;41
EAS;A;E ;3;21;41
EAS;B;E ;3;21;41
EAS;C;E ;3;21;41
EAS;D;E ;3;21;41
EAS;E;E ;3;21;41
EAS;F;E ;3;21;41
EAS;H;E ;3;21;41
EBS;A;E ;1;28;41
EBS;B;E ;1;28;41
EBS;C;E ;1;28;41
EBS;D;E ;1;28;41
EBS;E;E ;1;28;41
EBS;F;E ;1;28;41
EBS;H;E ;1;28;41
EBS;A;E ;2;28;41
EBS;B;E ;2;28;41
EBS;C;E ;2;28;41
EBS;D;E ;2;28;41
EBS;E;E ;2;28;41
EBS;F;E ;2;28;41
EBS;H;E ;2;28;41
EBS;A;E ;3;28;41
EBS;B;E ;3;28;41
EBS;C;E ;3;28;41
EBS;D;E ;3;28;41
EBS;E;E ;3;28;41
EBS;F;E ;3;28;41
EBS;H;E ;3;28;41
EBS;A;E ;4;28;41
EBS;B;E ;4;28;41
EBS;C;E ;4;28;41
EBS;D;E ;4;28;41
EBS;E;E ;4;28;41
EBS;F;E ;4;28;41
EBS;H;E ;4;28;41
NSS;A;E ;1;43;45
NSS;B;E ;1;43;45
NSS;C;E ;1;43;45
NSS;D;E ;1;43;45
NSS;E;E ;1;43;45
NSS;F;E ;1;43;45
NSS;H;E ;1;43;45
NSS;A;E ;2;43;45
NSS;B;E ;2;43;45
NSS;C;E ;2;43;45
NSS;D;E ;2;43;45
NSS;E;E ;2;43;45
NSS;F;E ;2;43;45
NSS;H;E ;2;43;45
NSS;A;E ;3;43;45
NSS;B;E ;3;43;45
NSS;C;E ;3;43;45
NSS;D;E ;3;43;45
NSS;E;E ;3;43;45
NSS;F;E ;3;43;45
NSS;H;E ;3;43;45
NSS;A;E ;4;43;45
NSS;B;E ;4;43;45
NSS;C;E ;4;43;45
NSS;D;E ;4;43;45
NSS;E;E ;4;43;45
NSS;F;E ;4;43;45
NSS;H;E ;4;43;45
PS1;A;E ;1;1;47
PS1;A;E ;2;2;47
PS1;A;E ;4;2;47
PS1;B;E ;1;10;47
PS1;D;E ;1;10;47
PS1;E;E ;1;10;47
PS1;F;E ;1;10;47
PS1;H;E ;1;10;47
PS1;B;E ;2;11;47
PS1;D;E ;2;11;47
PS1;E;E ;2;11;47
PS1;F;E ;2;11;47
PS1;H;E ;2;11;47
PS1;B;E ;4;11;47
PS1;D;E ;4;11;47
PS1;E;E ;4;11;47
PS1;F;E ;4;11;47
PS1;H;E ;4;11;47
PS1;A;E ;3;21;47
PS1;B;E ;3;21;47
PS1;D;E ;3;21;47
PS1;E;E ;3;21;47
PS1;F;E ;3;21;47
PS1;H;E ;3;21;47
PS1;C;E ;1;10;48
PS1;C;E ;2;11;48
PS1;C;E ;4;11;48
PS1;C;E ;3;21;48
SOT1;A;E ;1;1;41
SOT1;A;E ;2;2;41
SOT1;A;E ;4;2;41
SOT1;B;E ;1;10;41
SOT1;C;E ;1;10;41
SOT1;B;E ;2;11;41
SOT1;C;E ;2;11;41
SOT1;B;E ;4;11;41
SOT1;C;E ;4;11;41
SOT1;A;E ;3;21;41
SOT1;B;E ;3;21;41
SOT1;C;E ;3;21;41
SOT1;D;E ;3;21;41
SOT1;E;E ;3;21;41
SOT1;F;E ;3;21;41
SOT1;H;E ;3;21;41
SOT1;E;E ;1;32;41
SOT1;E;E ;2;32;41
SOT1;E;E ;4;32;41
SOT1;F;E ;1;35;41
SOT1;F;E ;2;35;41
SOT1;F;E ;4;35;41
SOT1;D;E ;1;38;41
SOT1;H;E ;1;38;41
SOT1;D;E ;2;38;41
SOT1;H;E ;2;38;41
SOT1;D;E ;4;38;41
SOT1;H;E ;4;38;41
SXLOP;A;E ;1;1;41
SXLOP;A;E ;2;2;41
SXLOP;A;E ;4;2;41
SXLOP;B;E ;1;10;41
SXLOP;C;E ;1;10;41
SXLOP;D;E ;1;10;41
SXLOP;E;E ;1;10;41
SXLOP;F;E ;1;10;41
SXLOP;H;E ;1;10;41
SXLOP;B;E ;2;11;41
SXLOP;C;E ;2;11;41
SXLOP;D;E ;2;11;41
SXLOP;E;E ;2;11;41
SXLOP;F;E ;2;11;41
SXLOP;H;E ;2;11;41
SXLOP;B;E ;4;11;41
SXLOP;C;E ;4;11;41
SXLOP;D;E ;4;11;41
SXLOP;E;E ;4;11;41
SXLOP;F;E ;4;11;41
SXLOP;H;E ;4;11;41
SXLOP;A;E ;3;21;41
SXLOP;B;E ;3;21;41
SXLOP;C;E ;3;21;41
SXLOP;D;E ;3;21;41
SXLOP;E;E ;3;21;41
SXLOP;F;E ;3;21;41
SXLOP;H;E ;3;21;41
TA;A;E ;1;1;41
TA;A;E ;2;2;41
TA;A;E ;4;2;41
TA;B;E ;1;10;41
TA;C;E ;1;10;41
TA;D;E ;1;10;41
TA;E;E ;1;10;41
TA;F;E ;1;10;41
TA;H;E ;1;10;41
TA;B;E ;2;11;41
TA;C;E ;2;11;41
TA;D;E ;2;11;41
TA;E;E ;2;11;41
TA;F;E ;2;11;41
TA;H;E ;2;11;41
TA;B;E ;4;11;41
TA;C;E ;4;11;41
TA;D;E ;4;11;41
TA;E;E ;4;11;41
TA;F;E ;4;11;41
TA;H;E ;4;11;41
TA;A;E ;3;21;41
TA;B;E ;3;21;41
TA;C;E ;3;21;41
TA;D;E ;3;21;41
TA;E;E ;3;21;41
TA;F;E ;3;21;41
TA;H;E ;3;21;41
